timestamp,vessel_count,mean_sog_knots,stopped_ratio,course_dispersion,traffic_density,position_spread_km
2024-01-10T00:00:00Z,184,0.708784,0.876126,0.735612,0.973545,6.607009
2024-01-10T00:05:00Z,182,0.719221,0.844282,0.839502,0.962963,6.601861
2024-01-10T00:10:00Z,174,0.952219,0.83812,0.745674,0.920635,6.561611
2024-01-10T00:15:00Z,177,1.056532,0.833729,0.74166,0.936508,6.564082
2024-01-10T00:20:00Z,183,0.814425,0.855746,0.785111,0.968254,6.565101
2024-01-10T00:25:00Z,177,0.849747,0.84596,0.791969,0.936508,6.629743
2024-01-10T00:30:00Z,181,0.756079,0.848635,0.832452,0.957672,6.508316
2024-01-10T00:35:00Z,176,0.844304,0.837975,0.822453,0.931217,6.490894
2024-01-10T00:40:00Z,169,1.020635,0.838624,0.849907,0.89418,6.676003
2024-01-10T00:45:00Z,175,0.852778,0.835859,0.841726,0.925926,6.635372
2024-01-10T00:50:00Z,179,1.469458,0.807882,0.854448,0.94709,6.642733
2024-01-10T00:55:00Z,182,1.805211,0.794045,0.82596,0.962963,6.65909
2024-01-10T01:00:00Z,176,1.611806,0.810185,0.756253,0.931217,6.524694
2024-01-10T01:05:00Z,178,1.170149,0.840796,0.773716,0.941799,6.594559
2024-01-10T01:10:00Z,172,0.944792,0.861979,0.804147,0.910053,6.557026
2024-01-10T01:15:00Z,177,0.974201,0.864865,0.777491,0.936508,6.416481
2024-01-10T01:20:00Z,179,0.783038,0.898734,0.82354,0.94709,6.476615
2024-01-10T01:25:00Z,176,0.736856,0.889175,0.793833,0.931217,6.573463
2024-01-10T01:30:00Z,176,0.882843,0.875,0.705288,0.931217,6.378846
2024-01-10T01:35:00Z,174,0.877468,0.855696,0.753449,0.920635,6.438266
2024-01-10T01:40:00Z,175,0.619271,0.877604,0.762166,0.925926,6.5076
2024-01-10T01:45:00Z,178,0.628061,0.890306,0.771687,0.941799,6.502461
2024-01-10T01:50:00Z,175,0.51038,0.863291,0.808226,0.925926,6.294253
2024-01-10T01:55:00Z,170,0.780577,0.855643,0.909952,0.899471,6.581943
2024-01-10T02:00:00Z,174,0.706954,0.858513,0.807166,0.920635,6.458202
2024-01-10T02:05:00Z,181,1.023457,0.851852,0.851122,0.957672,6.529585
2024-01-10T02:10:00Z,181,1.334005,0.788413,0.826471,0.957672,6.497283
2024-01-10T02:15:00Z,177,0.879759,0.807229,0.810892,0.936508,6.26292
2024-01-10T02:20:00Z,173,0.754922,0.841969,0.815913,0.915344,6.263371
2024-01-10T02:25:00Z,173,1.155614,0.832898,0.82223,0.915344,6.523877
2024-01-10T02:30:00Z,175,1.133415,0.85258,0.760456,0.925926,6.510798
2024-01-10T02:35:00Z,178,1.154637,0.859649,0.793762,0.941799,6.53519
2024-01-10T02:40:00Z,172,1.489628,0.832447,0.85153,0.910053,6.654006
2024-01-10T02:45:00Z,174,1.432338,0.840796,0.803345,0.920635,6.604813
2024-01-10T02:50:00Z,178,1.04799,0.854271,0.799897,0.941799,6.617222
2024-01-10T02:55:00Z,174,0.909278,0.884021,0.818883,0.920635,6.779784
